Company,Date,Revenue,COGS,Opex,EBIT,Tax,NetProfit
Alpha Pvt Ltd,2022-01-31,1457184.7,674808.97,237634.77,544740.96,136185.24,408555.72
Alpha Pvt Ltd,2022-02-28,2498672.72,1378793.7,415167.05,704711.97,176177.99,528533.98
Alpha Pvt Ltd,2022-03-31,2141489.25,1446147.09,333479.24,361862.92,90465.73,271397.19
Alpha Pvt Ltd,2022-04-30,1246852.64,728224.92,249158.13,269469.59,67367.4,202102.19
Alpha Pvt Ltd,2022-05-31,1710699.87,1134231.06,297575.15,278893.66,69723.41,209170.25
Alpha Pvt Ltd,2022-06-30,2825718.27,1509793.04,565339.93,750585.3,187646.33,562938.97
Alpha Pvt Ltd,2022-07-31,786660.38,402212.25,118196.18,266251.95,66562.99,199688.96
Alpha Pvt Ltd,2022-08-31,1785543.69,998242.03,291297.21,496004.45,124001.11,372003.34
Alpha Pvt Ltd,2022-09-30,2632968.13,1578200.74,422542.79,632224.6,158056.15,474168.45
Alpha Pvt Ltd,2022-10-31,1566629.8,828535.27,340347.59,397746.94,99436.74,298310.2
Alpha Pvt Ltd,2022-11-30,1660556.92,1123117.11,272189.66,265250.15,66312.54,198937.61
Alpha Pvt Ltd,2022-12-31,1952645.52,948094.86,524306.37,480244.29,120061.07,360183.22
Alpha Pvt Ltd,2023-01-31,2745694.81,1250139.54,787115.42,708439.85,177109.96,531329.89
Alpha Pvt Ltd,2023-02-28,1680549.0,997157.15,318965.27,364426.58,91106.65,273319.93
Alpha Pvt Ltd,2023-03-31,1778009.02,1172524.78,471739.95,133744.29,33436.07,100308.22
Alpha Pvt Ltd,2023-04-30,1782824.36,955354.14,481762.8,345707.42,86426.85,259280.57
Alpha Pvt Ltd,2023-05-31,3102965.04,1556806.02,748855.24,797303.78,199325.95,597977.83
Alpha Pvt Ltd,2023-06-30,3093393.04,1799639.37,839549.28,454204.39,113551.1,340653.29
Alpha Pvt Ltd,2023-07-31,2502026.95,1323111.35,524764.43,654151.17,163537.79,490613.38
Alpha Pvt Ltd,2023-08-31,2193093.2,1408667.13,497640.96,286785.11,71696.28,215088.83
Alpha Pvt Ltd,2023-09-30,2368684.29,1471448.72,582111.25,315124.32,78781.08,236343.24
Alpha Pvt Ltd,2023-10-31,2745366.01,1692969.5,778351.86,274044.65,68511.16,205533.49
Alpha Pvt Ltd,2023-11-30,1532083.07,875637.75,383435.25,273010.07,68252.52,204757.55
Alpha Pvt Ltd,2023-12-31,2587914.52,1406869.03,400547.57,780497.92,195124.48,585373.44
Alpha Pvt Ltd,2024-01-31,1373059.67,876758.04,243333.27,252968.36,63242.09,189726.27
Alpha Pvt Ltd,2024-02-29,1681124.25,1101216.31,482561.48,97346.46,24336.62,73009.84
Alpha Pvt Ltd,2024-03-31,2453552.6,1507753.56,430645.18,515153.86,128788.46,386365.4
Alpha Pvt Ltd,2024-04-30,1285659.65,686836.72,268290.17,330532.76,82633.19,247899.57
Alpha Pvt Ltd,2024-05-31,1929965.64,903846.71,421726.56,604392.37,151098.09,453294.28
Alpha Pvt Ltd,2024-06-30,1569122.55,930948.06,314477.13,323697.36,80924.34,242773.02
Alpha Pvt Ltd,2024-07-31,1872190.31,930975.59,305585.63,635629.09,158907.27,476721.82
Alpha Pvt Ltd,2024-08-31,600705.45,364675.89,91261.79,144767.77,36191.94,108575.83
Alpha Pvt Ltd,2024-09-30,1114233.45,599433.55,205430.62,309369.28,77342.32,232026.96
Alpha Pvt Ltd,2024-10-31,1650061.38,961984.75,426622.55,261454.08,65363.52,196090.56
Alpha Pvt Ltd,2024-11-30,2463731.22,1668656.38,605634.72,189440.12,47360.03,142080.09
Alpha Pvt Ltd,2024-12-31,1913182.16,1335302.19,563640.45,14239.52,3559.88,10679.64
Alpha Pvt Ltd,2025-01-31,2001422.96,1215859.8,370275.21,415287.95,103821.99,311465.96
